Date,Open,High,Low,Close,Volume,Adj Close
2016-07-25,162.00,162.880005,161.75,162.649994,2726700,162.649994
2016-07-22,160.779999,162.169998,160.479996,162.070007,2490600,162.070007
2016-07-21,160.75,161.850006,159.889999,160.449997,3518900,160.449997
2016-07-20,159.970001,161.710007,159.600006,161.360001,4376300,161.360001
2016-07-19,161.779999,162.139999,157.889999,159.580002,7120000,159.580002
2016-07-18,159.300003,160.75,158.729996,159.860001,6729700,159.860001
2016-07-15,159.899994,159.979996,158.50,159.779999,4476800,159.779999
2016-07-14,158.809998,161.399994,158.580002,160.279999,4637600,160.279999
2016-07-13,157.75,158.339996,157.059998,158.020004,2746400,158.020004
2016-07-12,156.00,157.119995,155.520004,157.039993,3843800,157.039993
2016-07-11,154.600006,156.039993,154.50,155.330002,2833700,155.330002
2016-07-08,154.00,154.600006,153.080002,154.460007,3040600,154.460007
2016-07-07,152.75,153.690002,151.889999,152.600006,2138400,152.600006
2016-07-06,151.850006,152.410004,149.919998,152.369995,2569400,152.369995
2016-07-05,151.190002,152.00,150.759995,151.679993,2465200,151.679993
2016-07-01,151.779999,152.970001,151.399994,152.350006,2658300,152.350006
2016-06-30,148.860001,151.910004,148.669998,151.779999,3967100,151.779999
2016-06-29,146.50,148.479996,146.449997,148.460007,3367700,148.460007
2016-06-28,144.779999,145.729996,144.220001,145.699997,3997700,145.699997
2016-06-27,146.179993,146.600006,142.50,143.50,5017900,143.50
2016-06-24,149.970001,150.610001,146.179993,146.589996,9082800,146.589996
2016-06-23,153.449997,155.479996,152.600006,155.350006,3969400,155.350006
2016-06-22,153.75,154.710007,152.270004,152.919998,2833700,152.919998
2016-06-21,154.160004,154.570007,153.690002,154.050003,2760300,154.050003
2016-06-20,152.600006,154.669998,152.520004,153.610001,3572100,153.610001
2016-06-17,150.960007,152.720001,150.600006,151.990005,4663900,151.990005
2016-06-16,150.190002,151.289993,149.00,151.059998,2449100,151.059998
2016-06-15,151.460007,151.789993,150.600006,150.679993,2260400,150.679993
2016-06-14,151.279999,151.789993,150.399994,151.059998,2865800,151.059998
2016-06-13,151.630005,152.50,150.279999,151.279999,3610400,151.279999
2016-06-10,152.789993,153.330002,151.860001,152.369995,3120600,152.369995
2016-06-09,152.919998,153.759995,152.729996,153.419998,2021800,153.419998
2016-06-08,153.529999,154.089996,153.039993,154.00,2935000,154.00
2016-06-07,153.309998,153.929993,152.660004,153.330002,4465000,153.330002
2016-06-06,153.089996,153.949997,152.339996,152.729996,2378700,152.729996
2016-06-03,152.399994,153.039993,151.699997,152.889999,2328300,152.889999
2016-06-02,152.589996,153.50,152.119995,153.50,2642600,153.50
2016-06-01,153.00,153.270004,151.539993,152.509995,2663400,152.509995
2016-05-31,152.559998,153.809998,152.270004,153.740005,5836600,153.740005
2016-05-27,152.350006,152.929993,152.149994,152.839996,2457100,152.839996
2016-05-26,151.550003,152.509995,151.050003,152.440002,3062900,152.440002
2016-05-25,148.929993,152.089996,148.50,151.690002,4355300,151.690002
2016-05-24,146.880005,148.75,146.880005,148.309998,2929300,148.309998
2016-05-23,147.610001,147.949997,146.660004,146.770004,2103800,146.770004
2016-05-20,145.710007,147.509995,145.550003,147.25,3671500,147.25
2016-05-19,146.479996,146.929993,143.960007,144.929993,3685600,144.929993
2016-05-18,147.990005,148.520004,146.360001,147.339996,2491100,147.339996
2016-05-17,149.210007,149.50,147.289993,148.00,3490600,148.00
2016-05-16,147.649994,149.990005,147.440002,149.460007,3069100,149.460007
2016-05-13,148.789993,149.860001,147.419998,147.720001,2398000,147.720001
2016-05-12,149.210007,149.389999,147.110001,148.839996,3249200,148.839996
2016-05-11,149.710007,151.089996,148.740005,148.949997,3093000,148.949997
2016-05-10,148.240005,150.039993,147.740005,149.970001,3992700,149.970001
2016-05-09,147.699997,148.199997,147.009995,147.339996,4302400,147.339996
2016-05-06,144.860001,147.970001,144.470001,147.289993,4895800,147.289993
2016-05-05,145.949997,147.300003,145.449997,146.470001,6501200,145.070003
2016-05-04,143.360001,145.00,143.309998,144.25,2577100,142.871221
2016-05-03,144.649994,144.899994,142.899994,144.130005,3584300,142.752373
2016-05-02,146.559998,147.00,144.429993,145.270004,3502400,143.881476
2016-04-29,146.490005,147.339996,144.190002,145.940002,4225800,144.54507
2016-04-28,149.75,150.179993,146.729996,147.070007,3791500,145.664274
2016-04-27,149.350006,150.779999,148.970001,150.470001,3111200,149.03177
2016-04-26,148.649994,149.789993,147.899994,149.080002,2979800,147.655056
2016-04-25,148.160004,148.899994,147.110001,148.809998,2848900,147.387633
2016-04-22,149.440002,151.00,147.50,148.50,5191900,147.080598
2016-04-21,146.580002,150.119995,146.460007,149.300003,6017700,147.872955
2016-04-20,144.240005,147.199997,144.00,146.110001,6754300,144.713443
2016-04-19,146.470001,146.949997,142.610001,144.00,13190200,142.62361
2016-04-18,151.720001,153.139999,151.490005,152.529999,6581700,151.072077
2016-04-15,151.039993,152.100006,150.960007,151.720001,3657600,150.269822
2016-04-14,151.50,152.759995,150.380005,151.160004,3176500,149.715177
2016-04-13,150.75,151.229996,149.630005,151.229996,3168400,149.7845
2016-04-12,149.610001,150.110001,148.580002,149.630005,3595800,148.199802
2016-04-11,150.259995,151.949997,149.220001,149.25,3846100,147.82343
2016-04-08,149.059998,149.990005,148.119995,149.350006,3293800,147.92248
2016-04-07,149.070007,149.600006,148.00,148.25,3663000,146.832988
2016-04-06,149.899994,150.149994,147.809998,150.020004,4194600,148.586074
2016-04-05,151.429993,151.600006,149.649994,150.00,3337000,148.566261
2016-04-04,152.339996,153.520004,151.910004,152.070007,3931200,150.616483
2016-04-01,150.509995,152.960007,150.25,152.520004,3925500,151.062178
2016-03-31,149.789993,153.100006,149.360001,151.449997,6780600,150.002398
2016-03-30,149.949997,150.410004,148.320007,148.410004,3331200,146.991462
2016-03-29,147.589996,149.759995,147.50,149.330002,3138500,147.902667
2016-03-28,147.75,148.649994,147.229996,148.399994,3265100,146.981548
2016-03-24,144.979996,148.220001,144.490005,147.949997,5044500,146.535852
2016-03-23,148.00,148.029999,145.130005,145.399994,4764200,144.010223
2016-03-22,148.059998,149.279999,147.839996,148.100006,4081900,146.684428
2016-03-21,147.300003,148.710007,146.720001,148.630005,3721600,147.209361
2016-03-18,147.399994,147.509995,145.509995,147.089996,12089700,145.684072
2016-03-17,144.779999,147.320007,144.449997,147.039993,5821600,145.634547
2016-03-16,142.619995,144.880005,142.110001,144.789993,4221900,143.406053
2016-03-15,141.740005,143.330002,141.539993,142.960007,3707500,141.593558
2016-03-14,142.009995,143.190002,141.039993,142.779999,4048800,141.41527
2016-03-11,141.729996,142.919998,140.509995,142.360001,4421900,140.999287
2016-03-10,141.240005,141.470001,138.089996,140.190002,4020600,138.85003
2016-03-09,139.309998,142.169998,139.229996,140.410004,4406500,139.067928
2016-03-08,139.710007,140.350006,137.419998,139.070007,5579100,137.74074
2016-03-07,137.279999,140.509995,136.869995,140.149994,5171000,138.810404
